ID,NAME (vertical file),AMNH OPAC,LOC/VIAF with URI,ALT NAME 3,DATES,DATE end,Date Note,SITES,PURPOSE,PERSONNEL,DEPARTMENT,SPONSORS,OTHERS,Documentation Materials,Publications,Field11,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000001,(Bahamas 1887),,,,1887,,,Bahamas,,,,,,"Could check further in Departmental records: geology, marine zool. Etc, prob not in Mammals and Birds (see Montana Exp notes.  See   also Elliott Richa4rdson exped. To Badlands in 1887/8for implication that was the first exped.","Nothing found in Annual Reports for  85-86, 86-87, 87-88; nor in Library Exped. Vertical files.  Only reference is in this spreadsheet..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000002,Elliott-Richardson Expedition to Montana,,,,1887,1888,,Badlands of Montana,"To collect Bison, Pronghorn and mule deer.  First M & B dept. expedition","Elliott, D.G. and Richardson, Jenness (Leaders) ","Mammals and Birds, and Taxidermy.","Jesup, Morris K. and Constable, James.",,AMNH Library Vertical Files,"Library Vertical Expedition Files, and AMNH Ann. Rep. 1887-1888, and Mammal Dept.. Exped. List..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000003,Richardson Expedition to Maine,,,,1888,,,Maine,"To collect 2 moose, 2 Caribou and other small mammal specimens in northern Maine.","Richardson, Jenness.", Mammals and Bird dept.,,,AMNH Library Vertical Files," AMNH Ann. Rep. 1888-89. and Lib. Vert. Exp files, and Robin Smith file cards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000004,Richardson-Rowley Expedition to Indian Territory of Panhandle of Texas,,,,1889,,,"Indian Territory, Panhandle of Texas.","To collect accessories for the Buffalo group (99 specimens), also more than an additional 200 other specimens for the dept.    ","Richardson, Jenness and Rowley, J Jr.",Dept of Mammals and Birds,,,AMNH Library Vertical Files,"AMNH Ann. Rep. 1889-1890, p.8.In Lib. Verticle Files, and Robvin Smith cards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000005,E. A. Mearns Arizona Expedition,,,,1889,1892,,,,E. A Mearns,Dept. of Mammals and Birds,,, AMNH Library Vertical Files,"Shown on Mammal and Bird Dept lists,  In Lib. Vertical files and  23rd AMNH Ann. Report for 1891,   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000006,Southern Mexico Expedition,Audley C. Buller Southern Mexico Expedition,,,1889,1890,,Central and Southern Mexico,To collect birds and mammals.238 specimens and 10 skulls.,Dr. Audley C. Buller,Dept. Mammals and Birds,,,AMNH Library Vertical Files,"AMNH Annual Report for 1890-1891, pp. 23, 24.AMNH Bulletins, 1890, Vol. II, p. 165, and vol. III, p. 17; also Library vertical Espedition files.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000007,British Columbia Expedition.,Clark P. Streator British Columbia Expedition.,,,1889,1890,,,To collect birds and mammals. (140 specimens?),"Clark P. Streator, Leader",Mammal Dept.,,,Added 3.28.13. See also list of associated publicationson P. 24 of AMNH Ann. Rept. 1890-1891.,AMNH Annual Report 1890-1891.  See Library ' Dept. Vertical Expedition file.  Mammal and Bird Dept. Expedition List.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000008,Chapman Expeditions to Florida,,,,1889,1891,lib.files changed to 1889-91.,Florida,"To collect specimens for Department of Mammals and Department of Reptiles, Fishes and Invertebrates","Chapman, Frank M., leader  William Brewster, Dr. Charles Slover Alllen, and assist. Myers.",,,,"AR 1891, p.29 and Autobio of a bird-lover, by Frank M. Chapman. AMNH Library Vertical Files","AMNH Annual Report 1891, p. 26, 29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000009,W.E.D. Scott Expedition to Florida,,,,1890,,,"Florida, mainly along coast.",To collect specimens for the Dept of Mammals and Birds..,,,,,"AMNH Library Vertical files, Mammal dept. List",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000010,Lumholtz Expeditions,Lumholtz Expeditions to Mexico (1890-1898),,,1890,1898,,"Sierra Madre Mountains, Sonora (Mexico); Chihuahua (Mexico); Jalisco (Mexico)","To explore region, collect birds, mammals, and archaeological and ethnological materials relating to Huichol, Cora, Tepeciano, and Tarasco Indians. Also Walpi, Moqui, Nahua, Aztec, Yaqui, Papago (Tohono O'Odham), Pima, Mohave, Maricopa, Yuma,Zuni Indians.","Lumholtz, Carl S., leader; Hrdlicka, Ales (1898)","Anthropology, Mammals, Birds, Reptiles",Museum trustees; Villard; American Geographical Society of New York,,"AMNH Library Vertical files, Mammal dept. ListScrapbook 4; 6; 7; 35; 36","Annual Report No. 23, 1891, p. 7; No. 24, 1892, p. 7; No. 25, 1893, p. 9, 49; No. 26, 1894, pp. 9-10, 56; No. 28,1896, p.22; 1897, p. 14; l898, p. 15, Bulletin V. 5, pp. 27-42, Vol. X, 1898, . pp. 1-14; V. I, No. 7-8, pp. 125-128; Lumholtz, Carl ""Explorations in the Sierra Madre,"" 1891.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amnhc_2000011,Wortman Expeditions,,,,1891 ,-1899,Wortman left the Museum in 1899 to join the Cernegie Museum in Pittsburgh.,"Northern New Mexico,  Wyoming; Utah; Nebraska; Colorado; Northern Texas.",To collect living and fossil mammals,"Wortman, J.L., leader; Granger, Walter, sci.; Gidley, J.W., sci. (1899-1900)",Department of Mammalian Paleontology.,,,"AMNH Library Vertical Files;  J.L. Wortman - A Biographical Sketch by Henry Fairfield Osborne in Natural History, Vol. XXVI, No. 6, 1926, pp. 652-653.","AMNH Annual Report No. 24, p. 11. Bulletin , V. 4, 1892, pp.81-147 AMNH Annual Report No. 28, 1896, p. 17; Bulletin of the AMNH, Vol. VIII, pp. 241-258; AMNH Annual Report No. 31, 1899, p. 19; American Museum Journal, I, 9-10, p. 140-145, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
