recordId,status,Control Name,Short name,Names used in AMNH publications,useDates,floor,section,section name,hall number,source,notes
amnhc_4000001,current,American Museum of Natural History. Akeley Gallery.,Akeley Gallery.,Akeley Gallery,1990,,,,,1990 AR p. 45,The annual report does not specify the location
amnhc_4000001,current,American Museum of Natural History. Akeley Gallery.,Akeley Gallery.,Akeley Gallery,2015,2,,,,2015 AMNH Floor Plan,Space for temporary exhibits.
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,African Hall,"1911, 1914, 1917, 1919, 1920, 1921, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1938, 1939, 1940, 1941, 1949",2,13,,,1911 AR p. 20; 1914 AR p. 30; 1917 AR p. 30+; 1919 AR p. 25; 1920 AR p. 32; 1921 AR p. 44; 1924 AR p. 12; 1925 AR p. 19; 1926 AR p. 6; 1927 AR p. 13; 1928 AR p. 17; 1929 AR p. 18; 1930 AR p. 41; 1931 AR p. 3; 1932 AR p. 120; 1933 AR p. 12; 1933 AR p. 5; 1934 AR p. 9; 1935 AR p. 12; 1936 AR p. 3; 1938 AR p. 35; 1939 AR p. 9; 1940 AR p. 5; 1941 AR p. 34; 1949 AR p. [6],
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,African Hall,"1911, 1914, 1917, 1919, 1920, 1921, 1924, 1925, 1926, 1927, 1928, 1935, 1936, 1937, 1938, 1939, 1940, 1941",3,13,,,1911 AR p. 20; 1914 AR p. 30; 1917 AR p. 30+; 1919 AR p. 25; 1920 AR p. 32; 1921 AR p. 44; 1924 AR p. 12; 1925 AR p. 19; 1926 AR p. 6; 1927 AR p. 13; 1928 AR p. 17; 1935 AR p. 12; 1936 AR p. 3; 1937 AR p. 72; 1938 AR p. 35; 1939 AR p. 9; 1940 AR p. 5; 1941 AR p. 34,"1911, 1914, 1917, 1919, 1920, 1921, 1924-1928 to be constructed. 1935 under construction."
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Roosevelt African Hall,"1919, 1920, 1921",2,13,,,1919 AR p. 28; 1920 AR p. 19; 1921 AR p. 31,To be constructed -- eventually named for Akeley.
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Roosevelt African Hall,"1919, 1920, 1921",3,13,,,1919 AR p. 28; 1920 AR p. 19; 1921 AR p. 31,"1919, 1920, 1921 to be constructed -- eventually named for Akeley."
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,African Gallery,"1924, 1931",3,13,,,1924 AR p. 14; 1931 AR p. 3,1924 to be constructed. 1931 under construction.
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Hall of African Mammals,"1924, 1927, 1962, 1964, 1968, 1970, 1981, 1984, 1985, 1992, 1998",2,13,,,1924 AR p. 91; 1927 AR p. 75; 1962 GG p. 29; 1964 GG p. 29; 1968 AR p. 39; 1970 AR p. 39; 1981 AR p. 6; 1984 OG p. 29; 1985 AR p. 55; 1992 AR p. 80; 1998 AR p. 9; 1972 AMNH: An Intro-duction p. 70,"1924, 1927 to be constructed."
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Hall of African Mammals,"1924, 1927, 1962, 1964, 1968, 1981, 1984, 1985",3,13,,,1924 AR p. 91; 1927 AR p. 75; 1962 GG p. 29; 1964 GG p. 29; 1968 AR p. 39; 1981 AR p. 6; 1984 OG p. 29; 1985 AR p. 55,"1924, 1927 to be constructed."
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley African Hall,"1927, 1929, 1930, 1931, 1933, 1934, 1936, 1937, 1938, 1939, 1940, 1942, 1943, 1945, 1947, 1949, 1953, 1956, 1958",2,13,,2-H,"1927 AR p. 11; 1929 AR p. 12; 1930 AR p. 41; 1931 AR p. 5; 1933 AR p. 7; 1934 AR p. 3; 1936 AR p. 48; 1937 AR p. 66; 1938 AR p. 10; 1939 AR p. 5, 17; 1940 AR p. 2; 1942 AR p. 12; 1943 GG p. 101; 1945 GG p. 101; 1947 GG p. 101; 1949 GG p. 101; 1953 GG p. 24; 1956 GG p. 26; 1958 GG p. 26","1927-1934 under construction. 1953, 1956, 1958 General Guides indication Hall Number 2-H. 1911-1928 to be constructed. Elephants on exhibit 1/1/1922. 1929-1935 under construction.  African Hall wing begun in October 1929."
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley African Hall,"1927, 1936, 1940, 1942, 1943",3,13,,,1927 AR p. 11; 1936 AR p. 48; 1940 AR p. 2; 1942 AR p. 12; 1943 GG p. 102,1927 to be constructed. 1942 gallery completed.
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley Hall of African Mammals,"1928, 1929, 1932, 1940, 1941, 1957, 1967, 1971, 1973, 1975, 1978, 1981, 1984, 1985, 1991, 1993, 1996, 2000, 2001, 2006, 2007, 2009, 2010, 2012, 2014",2,13,,,1928 AR p. 51; 1929 AR p. 73; 1932 AR p. 62; 1940 AR p. 20; 1941 AR p. 4; 1957 AR p. 19; 1967 AR p. 71; 1971 AR p. 36; 1973 AR p. 4; 1978 AR p. 4; 1981 AR p. 27; 1984 OG p. 10; 1991 AR p. 7; 1993 AR p. 86; 1996 AR p. 4; 2000 AR p. 99; 2001 OG p. 61; 2006 AR p. 30; 2006 AR p. 5; 2007 AR p. 105; 2009 AR p. 54; 2010 AR p. 51; 2012 FP Summer; 1972 AMNH: An Intro-duction p. 5; 1967 AMNH: Pictorial Guide; 1975 AR p. 26; 1985 AR p. 69,"1928 to be constructed. 1929, 1932 under construction. Name currently in use on AMNH web site (2014). Omeka authority term."
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley Hall of African Mammals,"1928, 1940, 1941, 1967, 1981, 1984, 1985, 2000, 2001, 2006, 2007, 2009, 2010, 2012",3,13,,,1928 AR p. 51; 1940 AR p. 20; 1941 AR p. 4; 1967 AR p. 71; 1981 AR p. 27; 1984 OG p. 10; 2000 AR p. 99; 2001 OG p. 62; 2006 AR p. 30; 2006 AR p. 5; 2007 AR p. 105; 2009 AR p. 54; 2010 AR p. 51; 2012 FP Summer; 1967 AMNH: Pictorial Guide; 1985 AR p. 69,"To be constructed.
Omeka authority term. Name currently used on AMNH web site (2015)."
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley African Mammal Hall,1930,2,13,,,1930 AR p. 43,Under construction
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,"Small Mammal Groups, Gallery",1930,3,13,,,1930 AR p. 43,Under construction
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley Memorial African Hall,"1932, 1933, 1934, 1935, 1993",2,13,,,1932 AR p. 76; 1933 AR p. 15; 1934 AR p. 27; 1935 AR p. 14; 1993 OG p. 19,1932-1935 under construction.
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley Memorial Hall of African Mammals,"1935, 1936, 1937, 1964, 1969, 1983, 1986, 1987, 1988",3,13,,,1935 AR p. 12; 1936 AR p. 3; 1936 AR p. 52; 1937 AR p. 16; 1964 AR p. 7; 1969 AR p. 5; 1983 AR p. 58; 1986 AR p. 7; 1987 AR p. 74; 1988 AR p. 7; 1988 AR p. 7,"1935 under construction. Opened May 19, 1936."
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley Memorial Hall of African Mammals,"1935, 1936, 1937, 1939, 1943, 1945, 1947, 1949, 1953, 1956, 1958, 1962, 1964, 1969, 1972, 1979, 1983, 1986, 1987",2,13,African Wing,2-H,1935 AR p. 12; 1936 AR p. 3; 1936 GG Appendix; 1937 AR p. 16; 1939 GG p. 94; 1943 GG p. 102; 1945 GG p. 102; 1947 GG p. 102; 1949 GG p. 102; 1953 GG p. 132; 1956 GG p. 139; 1958 GG p. 141; 1962 AR p. 3; 1964 AR p. 7; 1969 AR p. 5; 1972 AR p. 21; 1983 AR p. 58; 1986 AR p. 7; 1987 AR p. 74; 1972 AMNH: An Intro-duction p. 15; 1979 AR p. 49,"1935 under construction. Opened May 19, 1936. Section name African Wing indicated in the 1936 General Guide Appendix. 1953, 1956, 1958 General Guides indicate Hall Number 2-H."
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley Memorial African Hall,"1935, 1993",3,13,,,1935 AR p. 14; 1993 OG p. 19,1935 under construction.
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,"African Hall, Akeley Memorial",1935,2,13,,,1935 AR p. 3,Under construction
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,"African Hall, Akeley Memorial",1935,3,13,,,1935 AR p. 3,Under construction
amnhc_4000002,current,American Museum of Natural History. Akeley Hall of African Mammals.,Akeley Hall of African Mammals.,Akeley Hall,"1936, 1937, 1940, 1969, 1985",2,13,,,1936 AR p. 14; 1937 AR p. 72; 1940 AR p. 5; 1969 AR p. 3; 1985 AR p. 69,
